Nome: TRIUNFO
Codigo Estacao: 82789
Latitude: -7.82972221
Longitude: -38.12222221
Altitude: 1105
Situacao: Fechada
Data Inicial: 1992-01-01
Data Final: 2018-03-28
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2007-12-31;3,3;23,132258;
2008-01-31;52,5;23,132258;
2008-02-29;135,7;21,9;
2008-03-31;387,2;21,09871;
2008-04-30;387,8;20,627333;
2008-05-31;199,1;19,159355;
2008-06-30;75,1;17,726667;
2008-07-31;112,1;17,147097;
2008-08-31;39;18,258065;
2008-09-30;6;20,352667;
2008-10-31;1,3;21,926452;
2008-11-30;6,8;23,760667;
2008-12-31;25,8;23,419355;
2009-01-31;98,6;22,892258;
2009-02-28;245;21,267857;
2009-03-31;134,5;21,664516;
2009-04-30;294,5;21,102;
2009-05-31;412;19,682581;
2009-06-30;111;18,622;
2009-07-31;63,1;18,662581;
2009-08-31;76,1;18,779355;
2009-09-30;0;21,409333;
2009-10-31;48,1;22,967097;
2009-11-30;13,1;23,364;
2009-12-31;79;22,919355;
2010-01-31;156,1;21,609677;
2010-02-28;132,8;22,354286;
2010-03-31;24,8;23,569677;
2010-04-30;258,3;21,922;
2010-05-31;30,7;21,974839;
2010-06-30;208,7;18,807333;
2010-07-31;79,6;18,001935;
2010-08-31;12,2;18,232903;
2010-09-30;26,8;19,881333;
2010-10-31;119;22,174839;
2010-11-30;0;23,252;
2010-12-31;83,2;22,107742;
2011-01-31;215,2;21,655484;
2011-02-28;230,5;21,216429;
2011-03-31;152,7;21,763871;
2011-04-30;225,2;20,777241;
2011-05-31;296,3;19,192903;
2011-06-30;96,4;18,817333;
2011-07-31;98,2;17,717419;
2011-08-31;52,6;19,017419;
2011-09-30;41,9;19,196667;
2011-10-31;108,7;22,019355;
2011-11-30;65,6;22,066;
2011-12-31;12;23,210968;
2012-01-31;35,5;22,456129;
2012-02-29;106,5;22,077241;
2012-03-31;28,5;22,374839;
