Nome: PESQUEIRA
Codigo Estacao: 82892
Latitude: -8.370701
Longitude: -36.707812
Altitude: 643.38
Situacao: Desativada
Data Inicial: 1992-01-01
Data Final: 2015-11-18
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2007-07-31;9,3;22,374194;
2007-08-31;21,4;21,714839;
2007-09-30;11,8;21,754;
2007-10-31;,1;23,50129;
2007-11-30;4,2;24,410667;
2007-12-31;12;23,151613;
2008-01-31;4;23,062581;
2008-02-29;209,4;23,3;
2008-03-31;241,2;23,34129;
2008-04-30;63,4;22,932;
2008-05-31;186,8;22,150968;
2008-06-30;25,9;21,347333;
2008-07-31;null;null;
2008-08-31;null;null;
2008-09-30;null;null;
2008-10-31;0;22,4784;
2008-11-30;0;22,884;
2008-12-31;0;23,327097;
2009-01-31;0;23,292903;
2009-02-28;133,7;23,361429;
2009-03-31;50,2;22,836774;
2009-04-30;194,6;23,289333;
2009-05-31;348,1;22,850968;
2009-06-30;60,5;21,358;
2009-07-31;101,3;21,276774;
2009-08-31;73,9;21,674839;
2009-09-30;,7;22,098;
2009-10-31;2,5;22,939355;
2009-11-30;19,1;23,162667;
2009-12-31;20,9;23,64;
2010-01-31;null;null;
2010-02-28;23,2;23,523571;
2010-03-31;23,9;24,442581;
2010-04-30;276,8;23,955333;
2010-05-31;4,5;23,510968;
2010-06-30;199,6;21,579333;
2010-07-31;22,4;21,396129;
2010-08-31;4,1;21,262581;
2010-09-30;33,5;21,819333;
2010-10-31;64;22,373548;
2010-11-30;0;22,185333;
2010-12-31;46,8;22,503871;
2011-01-31;null;null;
2011-02-28;40,4;22,690714;
2011-03-31;18,3;23,061935;
2011-04-30;54,5;23,025333;
2011-05-31;145;22,416129;
2011-06-30;42,4;21,864;
2011-07-31;84,5;20,492258;
2011-08-31;12,1;20,732903;
2011-09-30;15,4;21,307333;
2011-10-31;8,1;22,763226;
2011-11-30;32,6;23,230667;
2011-12-31;,1;23,785161;
2012-01-31;null;null;
2012-02-29;27,7;22,808276;
2012-03-31;2,8;23,145161;
2012-04-30;0;22,982;
2012-05-31;6,3;23,299355;
2012-06-30;37,4;22,174667;
2012-07-31;22,3;21,010968;
2012-08-31;16,1;20,583226;
2012-09-30;2,5;20,284;
2012-10-31;0;21,604516;
2012-11-30;2,8;23,043333;
2012-12-31;7,1;23,125806;
2013-01-31;null;null;
2013-02-28;0;23,487143;
2013-03-31;,4;23,323226;
2013-04-30;90,2;23,194667;
2013-05-31;17,3;22,872903;
2013-06-30;42,6;22,239333;
2013-07-31;121,9;21,936774;
2013-08-31;27,3;21,421935;
2013-09-30;1;21,346667;
2013-10-31;3,6;22,916129;
2013-11-30;19,2;22,608667;
2013-12-31;34,2;22,652903;
2014-01-31;null;null;
2014-02-28;50,2;22,243571;
2014-03-31;16,6;22,800645;
2014-04-30;125,1;22,000667;
2014-05-31;44;22,194194;
2014-06-30;23,3;21,328667;
2014-07-31;39,1;21,004516;
2014-08-31;42,7;20,465806;
2014-09-30;5,2;21,230667;
2014-10-31;23,9;21,689032;
2014-11-30;46,3;22,381333;
2014-12-31;35,2;23,110968;
2015-01-31;null;null;
2015-02-28;78,8;22,103571;
2015-03-31;9,2;22,014194;
2015-04-30;34,6;22,319333;
2015-05-31;6,1;22,929677;
2015-06-30;36,8;22,836;
2015-07-31;68,2;21,767742;
2015-08-31;null;null;
2015-09-30;null;null;
2015-10-31;null;null;
2015-11-30;null;null;

