Nome: ARCO VERDE
Codigo Estacao: 82890
Latitude: -8.4336111
Longitude: -37.05527777
Altitude: 683.91
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2007-10-31;3,7;23,494194;
2007-11-30;9,4;24,784;
2007-12-31;18,8;24,888966;
2008-01-31;null;null;
2008-02-29;88,4;25,053103;
2008-03-31;179,6;24,158462;
2008-04-30;85,3;23,124138;
2008-05-31;154,3;21,691613;
2008-06-30;54,5;20,228276;
2008-07-31;107,2;19,487742;
2008-08-31;45,6;20,368571;
2008-09-30;12,4;21,773333;
2008-10-31;5,7;23,414194;
2008-11-30;0;25,212143;
2008-12-31;21,2;25,456552;
2009-01-31;null;null;
2009-02-28;89,3;24,272593;
2009-03-31;null;null;
2009-04-30;null;null;
2009-05-31;256,9;22,341429;
2009-06-30;78,7;21,126;
2009-07-31;80,5;20,751613;
2009-08-31;97,7;20,748387;
2009-09-30;2,3;22,726;
2009-10-31;null;24,530435;
2009-11-30;4,8;24,82;
2009-12-31;36,1;25,002581;
2010-01-31;143,3;23,786452;
2010-02-28;90,1;24,747143;
2010-03-31;67,6;25,52129;
2010-04-30;null;null;
2010-05-31;34,7;23,547742;
2010-06-30;210,6;21,088667;
2010-07-31;73,5;20,384516;
2010-08-31;31,9;20,027097;
2010-09-30;37,3;21,422667;
2010-10-31;62,1;23,931613;
2010-11-30;0;24,754667;
2010-12-31;31,2;24,95871;
2011-01-31;36,2;24,632258;
2011-02-28;58;24,58;
2011-03-31;36,1;24,967742;
2011-04-30;89;23,772;
2011-05-31;229,8;22,101935;
2011-06-30;null;null;
2011-07-31;78;20,081333;
2011-08-31;39,2;20,874839;
2011-09-30;22,4;21,417333;
2011-10-31;18,2;23,72129;
2011-11-30;21,8;24,109333;
2011-12-31;0;25,283871;
2012-01-31;91,2;24,530323;
2012-02-29;7,7;24,329655;
2012-03-31;10;24,929032;
2012-04-30;38,7;24,566667;
2012-05-31;43,7;23,833548;
2012-06-30;27,3;22,456667;
2012-07-31;59,3;20,709677;
2012-08-31;37,9;20,848387;
2012-09-30;5,9;22,490667;
2012-10-31;7,7;23,752258;
2012-11-30;10,9;25,734667;
2012-12-31;,9;25,644516;
2013-01-31;3,2;26,118065;
2013-02-28;1,4;25,962857;
2013-03-31;17,4;26,29871;
