Nome: PETROLINA
Codigo Estacao: A307
Latitude: -9.38833333
Longitude: -40.52333332
Altitude: 372.72
Situacao: Operante
Data Inicial: 2003-02-20
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2018-12-31;48,8;27,40121;
2019-01-31;10;29,012366;
2019-02-28;68,4;28,891369;
2019-03-31;62,2;28,193952;
2019-04-30;30,4;28,302083;
2019-05-31;21,2;28,048521;
2019-06-30;7,8;25,367917;
2019-07-31;1,8;24,805511;
2019-08-31;4,2;24,998118;
2019-09-30;,8;27,183333;
2019-10-31;5,8;28,520161;
2019-11-30;,8;29,720833;
2019-12-31;23,4;29,836828;
2020-01-31;106,4;28,070296;
2020-02-29;20;28,226149;
2020-03-31;110,4;27,475134;
2020-04-30;76,2;27,044861;
2020-05-31;6,4;26,307124;
2020-06-30;16,8;24,710833;
2020-07-31;5,2;24,244355;
2020-08-31;4,4;24,752151;
2020-09-30;,2;26,627917;
2020-10-31;1;29,22379;
2020-11-30;150;26,945833;
2020-12-31;0;28,545968;
2021-01-31;58,8;28,104167;
2021-02-28;74;27,836905;
2021-03-31;6,2;28,785753;
2021-04-30;61,6;27,598611;
2021-05-31;,2;25,59328;
2021-06-30;3,8;25,40375;
2021-07-31;1,8;24,484274;
2021-08-31;,2;24,802285;
2021-09-30;0;27,629444;
2021-10-31;45,2;28,857392;
2021-11-30;80;27,488472;
2021-12-31;182,4;26,583468;
2022-01-31;53,8;26,354032;
2022-02-28;49,6;27,568601;
2022-03-31;23,2;27,262097;
2022-04-30;51,4;27,569167;
2022-05-31;23,6;26,04879;
2022-06-30;7,2;24,899861;
2022-07-31;11,2;24,216532;
2022-08-31;null;null;
2022-09-30;null;null;
2022-10-31;null;null;
2022-11-30;null;null;
2022-12-31;null;null;

