Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2008-01-31;49,9;28,769032;
2008-02-29;173,2;26,51931;
2008-03-31;212,4;25,755484;
2008-04-30;225,9;25,545333;
2008-05-31;13,1;25,158065;
2008-06-30;3,2;24,468;
2008-07-31;null;null;
2008-08-31;5,1;25,076774;
2008-09-30;,6;26,816;
2008-10-31;,7;28,044516;
2008-11-30;0;30,297333;
2008-12-31;23,6;28,972258;
2009-01-31;205,9;28,759355;
2009-02-28;87,9;26,991429;
2009-03-31;108,7;27,223226;
2009-04-30;269,5;25,897333;
2009-05-31;70;24,777419;
2009-06-30;null;null;
2009-07-31;4,1;24,770667;
2009-08-31;10;25,177419;
2009-09-30;13,6;27,553333;
2009-10-31;30,4;28,790323;
2009-11-30;8;29,436;
2009-12-31;33;28,812;
2010-01-31;34,3;27,582581;
2010-02-28;64,4;28,713571;
2010-03-31;50,6;28,799355;
2010-04-30;null;null;
2010-05-31;null;null;
2010-06-30;null;null;
2010-07-31;null;null;
2010-08-31;null;null;
2010-09-30;3,8;25,609333;
2010-10-31;106,8;28,26;
2010-11-30;null;null;
2010-12-31;86,1;27,507742;
2011-01-31;71,4;27,159355;
2011-02-28;157,5;27,683571;
2011-03-31;92,9;26,805806;
2011-04-30;26,5;27,256;
2011-05-31;111,7;25,107097;
2011-06-30;7,5;24,919333;
2011-07-31;24,9;23,914194;
2011-08-31;5,4;25,208387;
2011-09-30;4,8;25,524667;
2011-10-31;8,2;28,069677;
2011-11-30;25,2;28,293333;
2011-12-31;50;29,092903;
2012-01-31;11,5;28,777419;
2012-02-29;117,7;27,675172;
2012-03-31;16,8;28,276774;
2012-04-30;0;28,307333;
2012-05-31;11,8;26,909677;
2012-06-30;3,4;26,004;
2012-07-31;15,5;24,394194;
2012-08-31;8,7;24,316774;
2012-09-30;1;26,25;
2012-10-31;0;27,562581;
2012-11-30;7,9;29,952;
2012-12-31;,8;29,644516;
2013-01-31;49,3;28,844516;
2013-02-28;0;29,517143;
2013-03-31;,8;29,862581;
2013-04-30;57,9;28,342;
2013-05-31;5;26,849677;
2013-06-30;,8;26,332;
2013-07-31;14,1;24,863871;
2013-08-31;1,8;25,316774;
2013-09-30;0;26,957333;
2013-10-31;5,2;28,200645;
2013-11-30;1,3;28,573333;
2013-12-31;200;28,372258;
2014-01-31;6,8;28,520645;
2014-02-28;28,4;27,944286;
2014-03-31;12,6;28,441935;
2014-04-30;48,7;27,134667;
2014-05-31;19,9;26,049032;
2014-06-30;9;25,5;
2014-07-31;8,9;24,808387;
2014-08-31;14,9;24,725806;
2014-09-30;5,4;26,944;
2014-10-31;3;27,669032;
2014-11-30;31,2;28,579333;
2014-12-31;46,4;28,034194;
2015-01-31;4;29,256129;
2015-02-28;68;28,241429;
2015-03-31;119,3;28,390323;
2015-04-30;16,3;28,580667;
2015-05-31;7,2;27,644516;
2015-06-30;12,6;25,465333;
2015-07-31;22,4;24,991613;
2015-08-31;1,2;25,654839;
2015-09-30;,4;27,804667;
2015-10-31;0;28,827742;
2015-11-30;0;30,88;
2015-12-31;16;30,025161;
2016-01-31;216,3;27,120645;
2016-02-29;38,2;27,574483;
2016-03-31;81,8;29,489677;
2016-04-30;1,6;28,558667;
2016-05-31;180,2;27,260645;
2016-06-30;24,4;25,174667;
2016-07-31;3,6;24,969677;
2016-08-31;2,6;25,78129;
2016-09-30;,2;27,702667;
2016-10-31;1;29,093548;
2016-11-30;,8;29,745333;
2016-12-31;50,4;29,530968;
2017-01-31;0;29,493548;
2017-02-28;94;28,97;
2017-03-31;16,8;29,148387;
2017-04-30;16,6;28,292;
2017-05-31;5,4;26,897419;
2017-06-30;45;24,548;
2017-07-31;25,8;23,043226;
2017-08-31;0;25,186957;
2017-09-30;13,8;null;
2017-10-31;,3;null;
2017-11-30;8,3;null;
2017-12-31;8,4;null;
2018-01-31;48,8;null;
2018-02-28;209;26,798333;
2018-03-31;38,8;27,703871;
2018-04-30;null;null;
2018-05-31;1,2;26,465161;
2018-06-30;,2;25,396;
2018-07-31;,1;24,955484;
2018-08-31;0;25,989032;
2018-09-30;0;27,42;
2018-10-31;4,4;29,213548;
2018-11-30;2;29,590667;
2018-12-31;82,7;27,274194;
2019-01-31;,9;28,987742;
2019-02-28;68,8;28,664286;
2019-03-31;null;28,02;
2019-04-30;9,4;27,861667;
2019-05-31;51;27,467742;
2019-06-30;21,7;25,293333;
2019-07-31;41,2;24,154194;
2019-08-31;1,5;24,749032;
2019-09-30;0;27,241333;
2019-10-31;1,2;28,678065;
2019-11-30;1,4;29,897333;
2019-12-31;40,4;29,743871;
2020-01-31;86,2;28,571111;
2020-02-29;148,6;27,532;
2020-03-31;93;26,901538;
2020-04-30;126,3;26,773846;
2020-05-31;38,2;26,247692;
2020-06-30;11;24,946154;
2020-07-31;1,6;24,520741;
2020-08-31;1,3;25,3496;
2020-09-30;0;26,770769;
2020-10-31;1,2;29,4664;
2020-11-30;50,2;27,570435;
2020-12-31;18,6;28,6752;
2021-01-31;28,2;28,0872;
2021-02-28;150,4;27,866667;
2021-03-31;43;27,830769;
2021-04-30;118,6;26,8576;
2021-05-31;3,2;25,623077;
2021-06-30;8,4;25,241667;
