Nome: OURICURI
Codigo Estacao: 82753
Latitude: -7.87944443
Longitude: -40.09194444
Altitude: 462.01
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2008-01-31;29;null;
2008-02-29;96,4;null;
2008-03-31;272,3;null;
2008-04-30;107,8;null;
2008-05-31;22,9;null;
2008-06-30;,2;null;
2008-07-31;17,2;null;
2008-08-31;,8;null;
2008-09-30;null;null;
2008-10-31;0;null;
2008-11-30;1,5;null;
2008-12-31;53,6;null;
2009-01-31;100,3;null;
2009-02-28;127,8;null;
2009-03-31;203,1;null;
2009-04-30;241,6;null;
2009-05-31;88,2;null;
2009-06-30;17,8;null;
2009-07-31;9,7;23,526452;
2009-08-31;7,3;24,723871;
2009-09-30;0;27,248;
2009-10-31;38,7;28,089032;
2009-11-30;11,9;28,707333;
2009-12-31;178,4;27,387097;
2010-01-31;179,7;25,312903;
2010-02-28;21,6;27,032143;
2010-03-31;107,4;27,716129;
2010-04-30;249,5;25,403333;
2010-05-31;,9;25,534194;
2010-06-30;19,3;23,996;
2010-07-31;6,3;24,02;
2010-08-31;2,2;24,274194;
2010-09-30;3,8;25,48;
2010-10-31;36;27,911613;
2010-11-30;0;28,95;
2010-12-31;111,9;26,254839;
2011-01-31;81,9;25,730323;
2011-02-28;95,7;25,988571;
2011-03-31;135,3;25,412258;
2011-04-30;88,1;24,926;
2011-05-31;167,7;23,679355;
2011-06-30;11,9;23,165333;
2011-07-31;11,2;23,380645;
2011-08-31;26,4;24,800645;
2011-09-30;2,3;25,160667;
2011-10-31;59,1;27,490968;
2011-11-30;55,1;27,144;
2011-12-31;44,2;27,754194;
2012-01-31;53,2;27,24129;
2012-02-29;76,1;26,251724;
2012-03-31;14,9;27,146452;
2012-04-30;3,6;27,608;
2012-05-31;3,4;26,691613;
2012-06-30;0;25,834667;
2012-07-31;12,6;24,406452;
2012-08-31;2,2;24,352903;
2012-09-30;1,4;26,330667;
2012-10-31;,5;27,632903;
2012-11-30;25,3;29,290667;
2012-12-31;6,7;29,205161;
2013-01-31;141,3;27,71871;
2013-02-28;1,1;28,747857;
2013-03-31;49,9;28,765161;
2013-04-30;89;26,915333;
2013-05-31;13,3;26,701935;
2013-06-30;1,5;26,192667;
2013-07-31;30,5;24,622581;
2013-08-31;,3;25,306452;
2013-09-30;0;26,942;
2013-10-31;,4;28,173548;
2013-11-30;2,7;28,503333;
2013-12-31;97,4;27,865806;
2014-01-31;29,2;27,839355;
2014-02-28;135,9;26,64;
2014-03-31;107,7;25,961935;
2014-04-30;78,7;25,814;
2014-05-31;25,6;24,890323;
2014-06-30;5,7;25,011333;
2014-07-31;7,3;24,691613;
2014-08-31;,4;24,950323;
2014-09-30;,7;27,060667;
