Nome: SURUBIM
Codigo Estacao: 82797
Latitude: -7.839628
Longitude: -35.801056
Altitude: 421.44
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2007-10-31;3,6;23,80129;
2007-11-30;5,8;24,755333;
2007-12-31;16,8;24,987742;
2008-01-31;3,5;25,394839;
2008-02-29;1,4;26,246897;
2008-03-31;157,4;25,722581;
2008-04-30;58,4;24,56;
2008-05-31;115,2;23,431613;
2008-06-30;64,6;21,909333;
2008-07-31;93,2;21,463871;
2008-08-31;80,6;21,703871;
2008-09-30;19,8;23,068667;
2008-10-31;7;24,262581;
2008-11-30;,4;25,129333;
2008-12-31;1,9;25,74;
2009-01-31;9;25,985806;
2009-02-28;136,9;25,052857;
2009-03-31;44,7;25,24;
2009-04-30;36,6;25,566;
2009-05-31;95,3;24,574194;
2009-06-30;69,2;22,944;
2009-07-31;52,9;22,357419;
2009-08-31;49,7;22,236774;
2009-09-30;15,8;23,359333;
2009-10-31;,3;24,588387;
2009-11-30;16,4;24,945333;
2009-12-31;12,6;25,746452;
2010-01-31;111,8;25,093548;
2010-02-28;43,5;25,935;
2010-03-31;25;26,834839;
2010-04-30;92,8;25,813333;
2010-05-31;39;25,070968;
2010-06-30;249;23,495333;
2010-07-31;38,9;22,112903;
2010-08-31;51;21,544516;
2010-09-30;25,7;22,498667;
2010-10-31;7,7;24,750667;
2010-11-30;2,9;25,216667;
2010-12-31;45,7;25,289032;
2011-01-31;70,3;25,120645;
2011-02-28;35,4;25,615714;
2011-03-31;71,2;25,760645;
2011-04-30;174,3;24,886;
2011-05-31;184,3;23,483226;
2011-06-30;97,3;22,63;
2011-07-31;120,1;21,512903;
2011-08-31;62,6;21,703871;
2011-09-30;13,9;22,058667;
2011-10-31;11;23,80129;
2011-11-30;15,8;24,516667;
2011-12-31;3,2;25,206452;
2012-01-31;71,8;24,79871;
2012-02-29;48,9;24,367586;
2012-03-31;6,1;25,163871;
2012-04-30;3,5;25,34;
2012-05-31;46,4;24,445806;
2012-06-30;95,1;22,96;
2012-07-31;59,3;21,465806;
2012-08-31;29,2;21,701935;
2012-09-30;1,9;23,107333;
2012-10-31;4,3;23,94;
2012-11-30;1,4;25,02;
2012-12-31;9;25,336129;
2013-01-31;31;25,272258;
2013-02-28;4,7;25,911429;
2013-03-31;9,8;26,318065;
2013-04-30;101,9;25,856;
2013-05-31;35,5;24,021935;
2013-06-30;73;23,028;
2013-07-31;109,4;22,085161;
2013-08-31;45,4;21,990968;
2013-09-30;14,4;22,780667;
2013-10-31;11,4;23,990968;
2013-11-30;8,5;24,480667;
2013-12-31;10,5;25,216129;
2014-01-31;6,2;25,256129;
2014-02-28;81;24,750714;
2014-03-31;28,3;25,582581;
2014-04-30;46,9;25,831333;
2014-05-31;203,1;23,748387;
2014-06-30;41,3;22,793333;
2014-07-31;55,1;22,356774;
2014-08-31;58,4;22,012258;
2014-09-30;54,3;22,936667;
2014-10-31;56,3;23,530968;
2014-11-30;67,8;24,421333;
2014-12-31;5,7;24,533548;
2015-01-31;9,1;24,892903;
2015-02-28;10,9;25,9;
2015-03-31;50,5;25,601935;
2015-04-30;10,6;26,089333;
2015-05-31;43;25,284516;
2015-06-30;98,1;22,957241;
2015-07-31;108,3;21,910323;
2015-08-31;16,5;21,95871;
2015-09-30;7,2;23,631333;
2015-10-31;7,3;24,167742;
2015-11-30;4;25,338667;
2015-12-31;41,6;25,270968;
2016-01-31;108,1;24,773548;
2016-02-29;31,6;25,031034;
2016-03-31;31,8;25,661935;
2016-04-30;73,9;25,098667;
2016-05-31;99,8;23,95871;
2016-06-30;45,5;23,100667;
2016-07-31;12,9;22,874194;
2016-08-31;9,4;23,243871;
2016-09-30;3,7;24,07;
2016-10-31;,2;25,003226;
2016-11-30;,6;25,558667;
2016-12-31;4,6;25,794194;
2017-01-31;7,5;25,744516;
2017-02-28;4,3;26,094286;
2017-03-31;12,5;26,174839;
2017-04-30;79,7;25,516667;
2017-05-31;64,2;24,428387;
2017-06-30;86,1;22,893333;
2017-07-31;138,6;21,163871;
2017-08-31;13,9;22,159355;
2017-09-30;18,9;22,699333;
2017-10-31;6,6;24,085161;
2017-11-30;6,1;24,952;
2017-12-31;9,2;25,769032;
2018-01-31;69,8;25,400645;
2018-02-28;59,6;25,126429;
2018-03-31;124,9;24,927097;
2018-04-30;223,1;23,992667;
2018-05-31;72,5;23,253548;
2018-06-30;35,8;22,510667;
2018-07-31;14,9;22,289032;
2018-08-31;9,3;23,268387;
2018-09-30;3;23,754667;
2018-10-31;,4;25,047097;
2018-11-30;9,6;25,518;
2018-12-31;18,7;25,641935;
2019-01-31;11,8;25,72;
2019-02-28;34,2;26,236429;
2019-03-31;82,9;25,985161;
2019-04-30;47,2;25,746667;
2019-05-31;35,2;25,242581;
2019-06-30;115,6;23,55;
2019-07-31;129,1;22,076774;
2019-08-31;67,1;21,703226;
2019-09-30;22,4;22,802759;
2019-10-31;6,2;24,308387;
2019-11-30;0;25,286667;
2019-12-31;2,5;25,744516;
2020-01-31;8,8;25,874839;
2020-02-29;51,8;26,601379;
2020-03-31;181,2;26,033333;
2020-04-30;112,6;25,340667;
2020-05-31;63,4;24,447742;
2020-06-30;268,6;null;
2020-07-31;28,4;null;
2020-08-31;10,9;null;
2020-09-30;17,8;null;
2020-10-31;3;null;
2020-11-30;0;null;
2020-12-31;,6;null;
2021-01-31;null;null;
2021-02-28;null;null;
2021-03-31;null;null;
2021-04-30;null;null;
2021-05-31;null;null;
2021-06-30;null;null;
2021-07-31;null;null;
2021-08-31;null;null;
2021-09-30;null;null;
2021-10-31;2,6;null;
2021-11-30;7,5;26,087586;
2021-12-31;59;25,278667;
2022-01-31;79;25,006;
2022-02-28;31,8;25,6696;
2022-03-31;58,6;25,268667;
2022-04-30;40,8;25,352414;
2022-05-31;247,2;24,24;
2022-06-30;179,2;22,848966;
2022-07-31;97,5;22,085806;
2022-08-31;85,2;21,563571;
2022-09-30;7,2;23,115;
2022-10-31;20,6;24,153333;
2022-11-30;64,8;24,618667;
2022-12-31;29,5;25,045161;

