Nome: GARANHUNS
Codigo Estacao: 82893
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Fechada
Data Inicial: 1992-01-01
Data Final: 2022-11-11
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2007-08-31;198,4;18,474194;
2007-09-30;102,3;19,003448;
2007-10-31;5,1;20,292258;
2007-11-30;15;21,672;
2007-12-31;8,8;22,126452;
2008-01-31;2,8;22,42129;
2008-02-29;25,8;23,024444;
2008-03-31;240,1;22,893684;
2008-04-30;70,3;null;
2008-05-31;203,9;null;
2008-06-30;84,7;null;
2008-07-31;144,8;18,33125;
2008-08-31;92,9;19,015294;
2008-09-30;19,2;19,8825;
2008-10-31;17,7;20,521333;
2008-11-30;0;null;
2008-12-31;49,6;null;
2009-01-31;17,3;null;
2009-02-28;61;null;
2009-03-31;9;null;
2009-04-30;146,9;null;
2009-05-31;165,9;21,310588;
2009-06-30;131,3;null;
2009-07-31;102,8;19,802667;
2009-08-31;153,1;19,445333;
2009-09-30;9,9;null;
2009-10-31;32,2;null;
2009-11-30;15,8;null;
2009-12-31;50;null;
2010-01-31;110;null;
2010-02-28;44,8;null;
2010-03-31;119,9;null;
2010-04-30;220,7;null;
2010-05-31;43,6;null;
2010-06-30;485,2;null;
2010-07-31;147,5;null;
2010-08-31;112,9;null;
2010-09-30;123,6;null;
2010-10-31;83,7;null;
2010-11-30;1,7;null;
2010-12-31;10,4;null;
2011-01-31;64,1;null;
2011-02-28;78,8;null;
2011-03-31;150,9;null;
2011-04-30;120,8;null;
2011-05-31;206,6;null;
2011-06-30;140,7;null;
2011-07-31;208,5;null;
2011-08-31;82,6;null;
2011-09-30;101,1;null;
2011-10-31;13,6;null;
2011-11-30;32,1;null;
2011-12-31;null;null;
2012-01-31;null;null;
2012-02-29;null;null;
2012-03-31;3,8;null;
2012-04-30;37;null;
2012-05-31;64,8;null;
2012-06-30;72,7;null;
2012-07-31;90,1;null;
2012-08-31;115,5;null;
2012-09-30;11;null;
2012-10-31;7,5;null;
2012-11-30;1,4;null;
2012-12-31;6;null;
2013-01-31;13,6;null;
2013-02-28;4,5;null;
2013-03-31;14,4;null;
2013-04-30;114,5;null;
2013-05-31;66,3;null;
2013-06-30;117,8;null;
2013-07-31;177,5;null;
2013-08-31;97,9;null;
2013-09-30;21,5;null;
2013-10-31;58,8;null;
2013-11-30;25,8;null;
2013-12-31;74,3;null;
2014-01-31;13,8;null;
2014-02-28;20,9;null;
2014-03-31;62,1;null;
2014-04-30;152,8;null;
2014-05-31;176,5;null;
2014-06-30;120,8;null;
2014-07-31;144,7;null;
2014-08-31;131,3;null;
2014-09-30;68,4;null;
2014-10-31;173,6;null;
2014-11-30;16,1;null;
2014-12-31;null;null;
2015-01-31;5,6;null;
2015-02-28;71,9;null;
2015-03-31;15,9;null;
2015-04-30;4,2;null;
2015-05-31;40,5;null;
2015-06-30;122,8;null;
2015-07-31;null;null;
2015-08-31;74,7;null;
2015-09-30;null;null;
2015-10-31;null;null;
2015-11-30;null;null;
2015-12-31;44,1;null;
2016-01-31;87;null;
2016-02-29;null;null;
2016-03-31;35,1;null;
2016-04-30;null;null;
2016-05-31;71;null;
2016-06-30;33,4;null;
2016-07-31;45,1;null;
2016-08-31;30,1;null;
2016-09-30;15,3;null;
2016-10-31;10,7;null;
2016-11-30;3;null;
2016-12-31;,8;null;
2017-01-31;4;null;
2017-02-28;,8;null;
2017-03-31;null;null;
2017-04-30;50,9;null;
2017-05-31;340,5;null;
2017-06-30;null;null;
2017-07-31;339,7;null;
2017-08-31;145,2;null;
2017-09-30;null;null;
2017-10-31;18,1;null;
2017-11-30;4;null;
2017-12-31;null;null;
2018-01-31;34;null;
2018-02-28;null;null;
2018-03-31;42,6;null;
2018-04-30;105,7;null;
2018-05-31;141,1;null;
2018-06-30;54,5;null;
2018-07-31;53,8;null;
2018-08-31;32,5;null;
2018-09-30;null;null;
2018-10-31;1,8;null;
2018-11-30;3,9;null;
2018-12-31;37,5;null;
2019-01-31;35,1;null;
2019-02-28;null;null;
2019-03-31;null;null;
2019-04-30;42,6;null;
2019-05-31;43,2;null;
2019-06-30;110,3;null;
2019-07-31;183,3;null;
2019-08-31;123,8;null;
2019-09-30;null;null;
2019-10-31;4,9;null;
2019-11-30;0;null;
2019-12-31;3,2;null;
2020-01-31;24,7;null;
2020-02-29;null;null;
2020-03-31;null;null;
2020-04-30;null;null;
2020-05-31;null;null;
2020-06-30;null;null;
2020-07-31;null;null;
2020-08-31;null;null;
2020-09-30;null;null;
2020-10-31;null;null;
2020-11-30;null;null;
2020-12-31;null;null;
2021-01-31;null;null;
2021-02-28;null;null;
2021-03-31;null;null;
2021-04-30;null;null;
2021-05-31;null;null;
2021-06-30;null;null;
2021-07-31;null;null;
2021-08-31;null;null;
2021-09-30;null;null;
2021-10-31;null;null;
2021-11-30;0;null;
2021-12-31;108,4;null;
2022-01-31;null;null;
2022-02-28;16,6;null;
2022-03-31;null;null;
2022-04-30;57,7;null;
2022-05-31;246,3;null;
2022-06-30;311;null;
2022-07-31;195,5;null;
2022-08-31;111,7;null;
2022-09-30;32,5;null;
2022-10-31;null;null;
2022-11-30;null;null;

